Title,Author,Main Genre,Borrowed,BorrowedBy
Greatest Comedies of Shakespeare Deluxe Hardbound Edition,William Shakespeare,"Arts,0,
காதல் ஔஷதம் நீ (Tamil Edition),அஞ்சனா  சுபி,"Arts,0,
So That Happened: A Romantic Comedy (Donovan Family Book 1),Katie Bailey,"Arts,0,
On Cloud Nine (Perks & Benefits Book 3),Denise Stone,"Arts,0,
மௌனக்குமிழ்கள் (Tamil Edition),சுகமதி Sugamathi,"Arts,0,
Plays: Ivanov/The Seagull/Uncle Vanya/Three Sisters/The Cherry Orchard (Penguin Classics) Anton Chekhov,Anton Chekhov,"Arts,0,
Poetics (Penguin Classics),Aristotle,"Arts,0,
சுடரொளியாய் வெளிச்சமூட்டு: SUDAROLIYAI VELICHAMOOTU (Tamil Edition),அஞ்சனா  சுபி,"Arts,0,
"How to Write Funny: Your Serious, Step-By-Step Blueprint For Creating Incredibly, Irresistibly,0,
The Science of Storytelling,Will Storr,"Arts,0,
